year,total
2022,18.08488184832990
2021,17.27369918498970
2020,14.87345110957410
2019,19.92612885199870
2018,19.73579500238740
2017,19.98092563092140
2016,21.43029135564650
2015,20.95420578654910
2014,19.01112132471940
2013,18.64244001425100
2012,18.32414252739870
2011,19.83719212613600
2010,20.89492851734980
2009,22.33610520208860
2008,22.05160519134920
2007,24.52421011231040
2006,24.54404056471380
2005,26.59156405554100
